,포켓몬 사진,포켓몬 번호,포켓몬 이름,포켓몬 폼
1,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000101.png,No.0001,이상해씨,
2,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000201.png,No.0002,이상해풀,
3,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000301.png,No.0003,이상해꽃,
4,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000302.png,No.0003,메가이상해꽃,
5,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000303.png,No.0003,이상해꽃,거다이맥스의 모습
6,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000401.png,No.0004,파이리,
7,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000501.png,No.0005,리자드,
8,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000601.png,No.0006,리자몽,
9,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000602.png,No.0006,메가리자몽X,
10,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000603.png,No.0006,메가리자몽Y,
11,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000604.png,No.0006,리자몽,거다이맥스의 모습
12,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000701.png,No.0007,꼬부기,
13,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000801.png,No.0008,어니부기,
14,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000901.png,No.0009,거북왕,
15,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000902.png,No.0009,메가거북왕,
16,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/000903.png,No.0009,거북왕,거다이맥스의 모습
17,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001001.png,No.0010,캐터피,
18,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001101.png,No.0011,단데기,
19,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001201.png,No.0012,버터플,
20,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001202.png,No.0012,버터플,거다이맥스의 모습
21,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001301.png,No.0013,뿔충이,
22,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001401.png,No.0014,딱충이,
23,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001501.png,No.0015,독침붕,
24,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001502.png,No.0015,메가독침붕,
25,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001601.png,No.0016,구구,
26,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001701.png,No.0017,피죤,
27,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001801.png,No.0018,피죤투,
28,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001802.png,No.0018,메가피죤투,
29,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001901.png,No.0019,꼬렛,
30,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/001902.png,No.0019,꼬렛,알로라의 모습
31,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002001.png,No.0020,레트라,
32,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002002.png,No.0020,레트라,알로라의 모습
33,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002101.png,No.0021,깨비참,
34,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002201.png,No.0022,깨비드릴조,
35,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002301.png,No.0023,아보,
36,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002401.png,No.0024,아보크,
37,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002501.png,No.0025,피카츄,
38,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002502.png,No.0025,피카츄,거다이맥스의 모습
39,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002601.png,No.0026,라이츄,
40,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002602.png,No.0026,라이츄,알로라의 모습
41,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002701.png,No.0027,모래두지,
42,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002702.png,No.0027,모래두지,알로라의 모습
43,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002801.png,No.0028,고지,
44,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002802.png,No.0028,고지,알로라의 모습
45,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/002901.png,No.0029,니드런♀,
46,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003001.png,No.0030,니드리나,
47,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003101.png,No.0031,니드퀸,
48,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003201.png,No.0032,니드런♂,
49,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003301.png,No.0033,니드리노,
50,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003401.png,No.0034,니드킹,
51,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003501.png,No.0035,삐삐,
52,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003601.png,No.0036,픽시,
53,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003701.png,No.0037,식스테일,
54,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003702.png,No.0037,식스테일,알로라의 모습
55,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003801.png,No.0038,나인테일,
56,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003802.png,No.0038,나인테일,알로라의 모습
57,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/003901.png,No.0039,푸린,
58,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004001.png,No.0040,푸크린,
59,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004101.png,No.0041,주뱃,
60,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004201.png,No.0042,골뱃,
61,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004301.png,No.0043,뚜벅쵸,
62,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004401.png,No.0044,냄새꼬,
63,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004501.png,No.0045,라플레시아,
64,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004601.png,No.0046,파라스,
65,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004701.png,No.0047,파라섹트,
66,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004801.png,No.0048,콘팡,
67,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/004901.png,No.0049,도나리,
68,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005001.png,No.0050,디그다,
69,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005002.png,No.0050,디그다,알로라의 모습
70,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005101.png,No.0051,닥트리오,
71,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005102.png,No.0051,닥트리오,알로라의 모습
72,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005201.png,No.0052,나옹,
73,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005202.png,No.0052,나옹,알로라의 모습
74,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005203.png,No.0052,나옹,가라르의 모습
75,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005204.png,No.0052,나옹,거다이맥스의 모습
76,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005301.png,No.0053,페르시온,
77,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005302.png,No.0053,페르시온,알로라의 모습
78,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005401.png,No.0054,고라파덕,
79,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005501.png,No.0055,골덕,
80,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005601.png,No.0056,망키,
81,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005701.png,No.0057,성원숭,
82,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005801.png,No.0058,가디,
83,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005802.png,No.0058,가디,히스이의 모습
84,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005901.png,No.0059,윈디,
85,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/005902.png,No.0059,윈디,히스이의 모습
86,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006001.png,No.0060,발챙이,
87,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006101.png,No.0061,슈륙챙이,
88,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006201.png,No.0062,강챙이,
89,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006301.png,No.0063,캐이시,
90,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006401.png,No.0064,윤겔라,
91,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006501.png,No.0065,후딘,
92,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006502.png,No.0065,메가후딘,
93,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006601.png,No.0066,알통몬,
94,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006701.png,No.0067,근육몬,
95,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006801.png,No.0068,괴력몬,
96,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006802.png,No.0068,괴력몬,거다이맥스의 모습
97,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/006901.png,No.0069,모다피,
98,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007001.png,No.0070,우츠동,
99,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007101.png,No.0071,우츠보트,
100,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007201.png,No.0072,왕눈해,
101,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007301.png,No.0073,독파리,
102,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007401.png,No.0074,꼬마돌,
103,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007402.png,No.0074,꼬마돌,알로라의 모습
104,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007501.png,No.0075,데구리,
105,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007502.png,No.0075,데구리,알로라의 모습
106,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007601.png,No.0076,딱구리,
107,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007602.png,No.0076,딱구리,알로라의 모습
108,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007701.png,No.0077,포니타,
109,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007702.png,No.0077,포니타,가라르의 모습
110,https://data1.pokemonkorea.co.kr/newdata/pokedex/mid/007801.png,No.0078,날쌩마,
