,메뉴,가격
1,연잎 오리구이,"7,700"
2,열무 감초고추장 비빔밥,"4,900"
3,열무 두부강된장 비빔밥,"5,200"
4,열무 비빔면,"3,900"
5,마라치킨 덮밥,"4,900"
6,마라치킨 볶음면,"4,900"
7,믹스후라이,"6,000"
8,김피탕,"5,500"
9,빅김피탕,"7,900"
10,이남장 설렁탕,"7,900"
11,사골 조랭이떡 만둣국,"5,900"
12,[8월 할인메뉴] 치킹 반반순살(후라이드),"14,900"
13,"[8월 할인메뉴] 치킹 반반순살(후라이드,양념)","14,900"
14,[8월 할인메뉴] 숯불직화구이 덮밥,"4,900"
15,[8월 할인메뉴] 진달래,"6,900"
16,[8월 할인메뉴] 소불고기 감초고추장 비빔밥,"4,700"
17,[8월 할인메뉴] 시골제육 두부강된장 비빔밥,"4,500"
18,[8월 할인메뉴] 해바라기,"8,500"
19,[8월 할인메뉴] 스페셜 하이라이스,"4,900"
20,[8월 할인메뉴] 동백,"5,200"
21,[8월 할인메뉴] 돈까스도련님 고기고기,"5,600"
22,[8월 할인메뉴] 스팸 김치볶음밥,"3,900"
23,[8월 할인메뉴] 새치 고기고기,"5,900"
24,[8월 할인메뉴] 반찬 김치 부대찌개,"3,900"
25,[8월 할인메뉴] 치킨 2조각,"1,300"
26,[8월 할인메뉴] 토네이도 소세지,"1,200"
27,[8월 할인메뉴] 스팸,800
28,[8월 할인메뉴] 멘치카츠,800
29,해바라기,"10,000"
30,매화,"10,500"
31,진달래,"8,000"
32,개나리,"8,700"
33,돈까스도련님 고기고기,"6,600"
34,새치 고기고기,"7,100"
35,돈치 고기고기,"6,100"
36,송정식 떡갈비 Ⅱ,"6,900"
37,제육돈까스 도련님,"4,900"
38,숯불직화구이,"6,800"
39,소불고기,"5,700"
40,메가치킨제육,"7,800"
41,칠리 찹쌀탕수육도련님,"4,500"
42,동백,"6,200"
43,치킨제육,"5,000"
44,돈까스도련님,"4,900"
45,제육볶음,"4,700"
46,돈치스팸,"5,000"
47,송정식 떡갈비,"6,900"
48,제육 김치찌개 정식,"8,800"
49,빅치킨마요 김치 부대찌개 정식,"8,200"
50,치킨마요 김치 부대찌개 정식,"7,600"
51,빅치킨마요 김치찌개 정식,"7,700"
52,치킨마요 김치찌개 정식,"7,100"
53,메가스팸마요,"5,900"
54,스팸마요,"4,000"
55,메가치킨마요,"6,200"
56,왕치킨마요,"5,100"
57,빅치킨마요,"4,400"
58,치킨마요,"3,800"
59,참치마요,"3,600"
60,돈치마요,"4,100"
61,돈까스 카레,"4,800"
62,스팸 김치볶음밥,"4,900"
63,김치볶음밥,"4,100"
64,스팸 철판볶음밥,"4,900"
65,소불고기 철판볶음밥,"5,100"
66,묵은지 김치찌개,"5,000"
67,김치 부대찌개,"6,100"
68,스페셜 하이라이스,"5,900"
69,핫 치즈 닭갈비덮밥,"6,100"
70,오리지널 치즈 닭갈비덮밥,"6,100"
71,숯불직화구이 덮밥,"6,000"
72,마파두부 덮밥,"5,000"
73,왕카레돈까스덮밥,"6,100"
74,새우돈까스 덮밥,"4,400"
75,돈까스 덮밥,"4,300"
76,아보카도 소불고기 명란 비빔밥,"6,700"
77,소불고기 감초고추장 비빔밥,"5,700"
78,시골제육 두부강된장 비빔밥,"5,500"
79,참치야채 감초고추장 비빔밥,"3,800"
80,튼튼도시락,"5,300"
81,반찬 묵은지김치찌개,"4,400"
82,반찬 카레,"2,900"
83,반찬 순살 고등어 간장구이,"3,900"
84,반찬 김치 부대찌개,"4,900"
85,반찬 치킨,"3,800"
86,반찬 고기고기,"3,600"
87,반찬 돈까스도련님,"4,100"
88,반찬 제육볶음,"3,500"
89,반찬 토네이도 소세지,"3,200"
90,반찬 돈까스,"2,900"
91,치즈버터 해시 포테이토 스틱,"2,200"
92,허니버터 해시 포테이토 스틱,"2,200"
93,해시 포테이토 스틱,"2,000"
94,뉴 감자고로케,"2,700"
95,미니 찹쌀핫도그,"2,800"
96,미니 찹쌀탕수육,"2,300"
97,케이준후라이,"1,900"
98,멘치카츠,"2,800"
99,통현미 닭강정(소),"3,500"
100,통현미 닭강정(중),"8,500"
101,후라이드 순살(중),"7,500"
102,후라이드 순살(소)_양념치킨소스,"4,000"
103,후라이드 순살(소)_케이준소스,"4,000"
104,3종 미니반찬B,"1,300"
105,3종 미니반찬A,"1,300"
106,오징어젓갈,600
107,한솥 두부강된장소스,"1,800"
108,한솥 감초볶음고추장소스,500
109,볶음김치,500
110,김치,400
111,무말랭이 무침,500
112,한솥밥,"1,000"
113,현미밥,"1,700"
114,리얼꿀 미니호떡,"2,200"
